id,label
"tensor(2, device='cuda:0')","[5.773092559557824e-10, 1.474645232313332e-11, 0.9999991655349731, 7.630762866028817e-07, 3.1772199888396857e-12, 6.115381268045894e-08]"
"tensor(0, device='cuda:0')","[0.9999990463256836, 2.42902030954395e-12, 8.941357236835756e-07, 9.868176819817536e-19, 1.756196021940326e-10, 2.615037908437756e-10]"
"tensor(4, device='cuda:0')","[1.871029269295832e-07, 8.069236945296154e-10, 4.607638923181945e-11, 3.205283261031866e-11, 0.9999997615814209, 2.0684902679590778e-09]"
"tensor(4, device='cuda:0')","[2.3522170522483066e-06, 1.1965159529836455e-08, 1.916239167343292e-09, 9.905073428129185e-10, 0.999997615814209, 4.0984676985544866e-08]"
"tensor(4, device='cuda:0')","[1.8045084004825185e-07, 2.2850191183643176e-10, 5.062123636934146e-11, 1.6355692841751868e-11, 0.9999997615814209, 8.951801522272262e-10]"
"tensor(4, device='cuda:0')","[6.537079855206684e-08, 7.476912144976922e-11, 1.229502524097148e-11, 1.6326459281734707e-11, 0.9999998807907104, 1.7490712211909454e-09]"
"tensor(2, device='cuda:0')","[5.841500083647588e-08, 1.9240206650117386e-11, 1.0, 1.205890526323472e-10, 6.616452177810039e-14, 1.4754308885756018e-08]"
"tensor(4, device='cuda:0')","[3.75342850134075e-08, 8.167450743501448e-11, 4.930006489850536e-12, 3.1191347248105128e-12, 1.0, 2.8802996099308587e-10]"
"tensor(1, device='cuda:0')","[2.3193487408423863e-10, 0.9999943971633911, 4.87715124108945e-06, 2.2305097768793303e-09, 1.042067890311138e-10, 6.928666493877245e-07]"
"tensor(0, device='cuda:0')","[0.9999825954437256, 2.892912853713625e-10, 1.742443419061601e-05, 1.1636654037618641e-15, 3.8220644427156e-09, 2.0189334648534896e-08]"
"tensor(5, device='cuda:0')","[8.916871685471506e-09, 4.349629989519599e-07, 0.00019931224233005196, 2.494884029147215e-06, 1.5956045729126345e-07, 0.999797523021698]"
"tensor(5, device='cuda:0')","[7.382423916624248e-08, 1.5851629768803832e-06, 0.4445704519748688, 0.0018831065390259027, 1.1410462974481561e-07, 0.5535447001457214]"
"tensor(1, device='cuda:0')","[1.0545111450710465e-08, 0.9999598264694214, 3.733334960998036e-05, 2.658930675636384e-08, 3.0233060499540443e-09, 2.897571448556846e-06]"
"tensor(0, device='cuda:0')","[0.9999897480010986, 2.135619903143038e-09, 1.0303929229849018e-05, 1.00138361077101e-14, 5.1765621122967787e-08, 3.882201582428024e-08]"
"tensor(4, device='cuda:0')","[2.3056429654388921e-07, 1.0750058621056269e-08, 4.994740732122693e-10, 8.527706318872674e-10, 0.9999997615814209, 9.287869140450766e-09]"
"tensor(3, device='cuda:0')","[3.01280024043249e-17, 1.718989707522045e-11, 5.214470277792316e-08, 1.0, 3.874146781157606e-09, 1.9878105828041726e-09]"
"tensor(2, device='cuda:0')","[5.823202400279115e-07, 3.421175787110542e-09, 0.9999988079071045, 5.1206607842857466e-09, 6.1788196087375624e-12, 5.95244500800618e-07]"
"tensor(4, device='cuda:0')","[1.0727866310844547e-06, 5.255479162968868e-09, 4.852971358104696e-10, 6.948392416994409e-10, 0.9999988079071045, 5.825426541150591e-08]"
"tensor(4, device='cuda:0')","[9.999619976497343e-08, 2.3786697611605234e-10, 1.8388712427763743e-11, 8.89778181689671e-12, 0.9999998807907104, 6.453229617342515e-10]"
"tensor(0, device='cuda:0')","[0.999994158744812, 1.7625524303954698e-11, 5.860170404048404e-06, 5.411067324284022e-18, 1.3141274179950813e-10, 9.817409107881758e-10]"
